Signal,System Time,GEN Time,Result,Value,Exp. Min.,Exp. Max.
Delay_Sinewave Output,8.700000,0.000000,Fail,96.982525,-1.500000,13.500000
Delay_Sinewave Output,8.710000,0.010000,Fail,93.389860,-1.500000,13.500000
Delay_Sinewave Output,8.720000,0.020000,Fail,95.818386,-1.500000,13.500000
Delay_Sinewave Output,8.730000,0.030000,Fail,96.380744,-1.500000,13.500000
Delay_Sinewave Output,8.740000,0.040000,Fail,95.067984,-1.500000,13.500000
Delay_Sinewave Output,8.750000,0.050000,Fail,100.367786,-1.500000,13.500000
Delay_Sinewave Output,8.760000,0.060000,Fail,96.096947,-1.500000,13.500000
Delay_Sinewave Output,8.770000,0.070000,Fail,100.978633,-1.500000,13.500000
Delay_Sinewave Output,8.780000,0.080000,Fail,93.097881,-1.500000,13.500000
Delay_Sinewave Output,8.790000,0.090000,Fail,99.106072,-1.500000,13.500000
Delay_Sinewave Output,8.800000,0.100000,Fail,97.918764,-1.500000,13.500000
Delay_Sinewave Output,8.810000,0.110000,Fail,100.419938,-1.500000,13.500000
Delay_Sinewave Output,8.820000,0.120000,Fail,92.965886,-1.500000,13.500000
Delay_Sinewave Output,8.830000,0.130000,Fail,96.358876,-1.500000,13.500000
Delay_Sinewave Output,8.840000,0.140000,Fail,99.893143,-1.500000,13.500000
Delay_Sinewave Output,8.850000,0.150000,Fail,98.445891,-1.500000,13.500000
Delay_Sinewave Output,8.860000,0.160000,Fail,100.130319,-1.500000,13.500000
Delay_Sinewave Output,8.870000,0.170000,Fail,92.094329,-1.500000,13.500000
Delay_Sinewave Output,8.880000,0.180000,Fail,99.073011,-1.500000,13.500000
Delay_Sinewave Output,8.890000,0.190000,Fail,97.806946,-1.500000,13.500000
Delay_Sinewave Output,8.900000,0.200000,Fail,99.194127,-1.500000,13.500000
Delay_Sinewave Output,8.910000,0.210000,Fail,97.923736,-1.500000,13.500000
Delay_Sinewave Output,8.920000,0.220000,Fail,98.144089,-1.500000,13.500000
Delay_Sinewave Output,8.930000,0.230000,Fail,95.272475,-1.500000,13.500000
Delay_Sinewave Output,8.940000,0.240000,Fail,90.548837,-1.500000,13.500000
Delay_Sinewave Output,8.950000,0.250000,Fail,94.747896,-1.500000,13.500000
Delay_Sinewave Output,8.960000,0.260000,Fail,90.956789,-1.500000,13.500000
Delay_Sinewave Output,8.970000,0.270000,Fail,90.609857,-1.500000,13.500000
Delay_Sinewave Output,8.980000,0.280000,Fail,95.321836,-1.500000,13.500000
Delay_Sinewave Output,8.990000,0.290000,Fail,95.693128,-1.500000,13.500000
Delay_Sinewave Output,9.000000,0.300000,Fail,89.199885,-1.500000,13.500000
Delay_Sinewave Output,9.010000,0.310000,Fail,94.540991,-1.500000,13.500000
Delay_Sinewave Output,9.020000,0.320000,Fail,91.968986,-1.500000,13.500000
Delay_Sinewave Output,9.030000,0.330000,Fail,87.699765,-1.500000,13.500000
Delay_Sinewave Output,9.040000,0.340000,Fail,94.901855,-1.500000,13.500000
Delay_Sinewave Output,9.050000,0.350000,Fail,95.207426,-1.500000,13.500000
Delay_Sinewave Output,9.060000,0.360000,Fail,87.563465,-1.500000,13.500000
